D�a	Concepto / Referencia	cargo	Abono	Saldo
19-06-2019	CE00000088200620337275/2722588 88200620337275                1364332		230.00	163,063.14
19-06-2019	CE00000068080120348223/2718584 68080120348223                1364332		1,515.00	162,833.14
19-06-2019	CE00000071540120338278/2710092 71540120338278                1364332		1,515.00	161,318.14
19-06-2019	COMPRA FONDOS INVERSION/BMERGOB NC  00 OPERADO EN CANAL:  BNET	199,953.23		159,803.14
19-06-2019	TRASPASO CUENTAS PROPIAS/ 0036602004 CUENTA: 0113197654   BNET	3,336.00		359,756.37
19-06-2019	CONSEJO NAL DE NORMA/GUIA:2562604 REF:00000000000000000000 CIE:1024523	714.65		363,092.37
19-06-2019	CE00000080580120348276/2549921 INSCRIPCION SEPTIEMBRE-DICIEMB1364332		1,515.00	363,807.02
19-06-2019	CONSEJO NAL DE NORMA/GUIA:2547666 REF:00000000000000000000 CIE:1024523	238.22		362,292.02
19-06-2019	CE00000076840120348225/2466112 76840120348225                1364332		1,515.00	362,530.24
19-06-2019	CE00000072560120348247/2425599 72560120348247                1364332		1,515.00	361,015.24
19-06-2019	CE00000068170120348227/2415094 68170120348227                1364332		1,515.00	359,500.24
19-06-2019	CE00000082480120338258/2374372 82480120338258                1364332		1,515.00	357,985.24
19-06-2019	CE00000079010120348211/2319460 79010120348211                1364332		1,515.00	356,470.24
19-06-2019	CE00000076420120338272/2307690 76420120338272                1364332		1,515.00	354,955.24
19-06-2019	CE00000070610120348250/2304137 70610120348250                1364332		1,515.00	353,440.24
19-06-2019	CE00000067490120348226/2283259 67490120348226                1364332		1,515.00	351,925.24
19-06-2019	CE00000068990120338238/2282380 68990120338238                1364332		1,515.00	350,410.24
19-06-2019	CE00000068400120348260/2275230 68400120348260                1364332		1,515.00	348,895.24
19-06-2019	CE00000064410120348235/2260203 64410120348235                1364332		1,515.00	347,380.24
19-06-2019	CE00000069600120348220/2258322 69600120348220                1364332		1,515.00	345,865.24
19-06-2019	CE00000088160620337269/2238820 88160620337269                1364332		230.00	344,350.24
19-06-2019	CE00000083300120348208/2220713 83300120348208                1364332		1,515.00	344,120.24
19-06-2019	CE00000073450120338296/2214795 INSCRIPCION SEP.DIC.2019      1364332		1,515.00	342,605.24
19-06-2019	CE00000079710120338258/2201111 79710120338258                1364332		1,515.00	341,090.24
19-06-2019	CE00000069580120338235/2188230 69580120338235                1364332		1,515.00	339,575.24
19-06-2019	CE00000074520120348290/2127642 74520120348290                1364332		1,515.00	338,060.24
19-06-2019	CE00000067540120348251/2098371 67540120348251                1364332		1,515.00	336,545.24
19-06-2019	CE00000069160120348219/2091452 69160120348219                1364332		1,515.00	335,030.24
19-06-2019	CE00000078310120348269/2081850 78310120348269                1364332		1,515.00	333,515.24
19-06-2019	CE00000082140120338210/2052710 82140120338210                1364332		1,515.00	332,000.24
19-06-2019	CE00000083130120348219/2013440 83130120348219                1364332		1,515.00	330,485.24
19-06-2019	CE00000081210120348279/2003089 INSCRIPCION SEP-DIC 2019      1364332		1,515.00	328,970.24
19-06-2019	CE00000083160120348276/2000878 83160120348276                1364332		1,515.00	327,455.24
19-06-2019	CE00000071500120348219/1981452 71500120348219                1364332		1,515.00	325,940.24
19-06-2019	CE00000074990120348224/1974071 74990120348224                1364332		1,515.00	324,425.24
19-06-2019	CE00000071480120348251/1965854 71480120348251                1364332		1,515.00	322,910.24
19-06-2019	CE00000081240120348239/1961267 81240120348239                1364332		1,515.00	321,395.24
19-06-2019	CE00000087460620347247/1953303 87460620347247                1364332		230.00	319,880.24
19-06-2019	CE00000065900120338228/1949596 65900120338228                1364332		1,515.00	319,650.24
19-06-2019	CE00000064990120348211/1923537 INSCRIPCION SEP-DIC 2019      1364332		1,515.00	318,135.24
19-06-2019	CE00000078320120338271/1914748 78320120338271                1364332		1,515.00	316,620.24
19-06-2019	CE00000081710120348297/1911074 81710120348297                1364332		1,515.00	315,105.24
19-06-2019	CE00000080770120338286/1870847 80770120338286                1364332		1,515.00	313,590.24
19-06-2019	CE00000081880120348259/1868834 81880120348259                1364332		1,515.00	312,075.24
19-06-2019	CE00000088180620337210/1868229 88180620337210                1364332		230.00	310,560.24
19-06-2019	CE00000065230120338221/1781274 65230120338221                1364332		1,515.00	310,330.24
19-06-2019	CE00000063470120348241/1770901 63470120348241                1364332		1,515.00	308,815.24
19-06-2019	CE00000087450620347228/1752069 EXAMEN DE INGRESO A LA EDUCACI1364332		230.00	307,300.24
19-06-2019	DEPOSITO EN EFECTIVO/ 		3,278.00	307,070.24
19-06-2019	CE00000075700120348212/1626240 75700120348212                1364332		1,515.00	303,792.24
19-06-2019	CE00000083770120348239/1584902 83770120348239                1364332		1,515.00	302,277.24
19-06-2019	CE00000088150620337250/1583880 88150620337250                1364332		230.00	300,762.24
19-06-2019	CE00000070030120348247/1574254 70030120348247                1364332		1,515.00	300,532.24
19-06-2019	CE00000064260120348284/1565102 64260120348284                1364332		1,515.00	299,017.24
19-06-2019	CE00000074390120348280/1502897 74390120348280                1364332		1,515.00	297,502.24
19-06-2019	CE00000082150120338229/1502105 82150120338229                1364332		1,515.00	295,987.24
19-06-2019	CE00000076210120338207/1433949 76210120338207                1364332		1,515.00	294,472.24
19-06-2019	CE00000075150120338249/1393788 75150120338249                1364332		1,515.00	292,957.24
19-06-2019	CE00000067530120338215/1384340 67530120338215                1364332		1,515.00	291,442.24
19-06-2019	CE00000075160120338268/1379202 75160120338268                1364332		1,515.00	289,927.24
19-06-2019	CE00000065130120348215/1375650                               1364332		1,515.00	288,412.24
19-06-2019	CE00000068740120348211/1371788 68740120348211                1364332		1,515.00	286,897.24
19-06-2019	CE00000078120120348242/1345960 78120120348242                1364332		1,515.00	285,382.24
19-06-2019	CE00000073750120338268/1345872 73750120338268                1364332		1,515.00	283,867.24
19-06-2019	CE00000064550120338220/1339228 64550120338220                1364332		1,515.00	282,352.24
19-06-2019	CE00000069320120348286/1311849 69320120348286                1364332		1,515.00	280,837.24
19-06-2019	CE00000068220120338235/1297230 68220120338235                1364332		1,515.00	279,322.24
19-06-2019	CE00000068780120348287/1255067 68780120348287                1364332		1,515.00	277,807.24
19-06-2019	CE00000072990120338282/1204830 72990120338282                1364332		1,515.00	276,292.24
19-06-2019	CE00000066920120348294/1180333 66920120348294                1364332		1,515.00	274,777.24
19-06-2019	CE00000081510120348251/1123144 81510120348251                1364332		1,515.00	273,262.24
19-06-2019	CE00000074380120348261/1096975 74380120348261                1364332		1,515.00	271,747.24
18-06-2019	CE00000064820120338232/0881298 INSCRIPCION SEPT DIC 2019     1364332		1,515.00	270,232.24
18-06-2019	CE00000068410120338262/0825044 68410120338262                1364332		1,515.00	268,717.24
18-06-2019	CE00000075940120328203/0792825 75940120328203                1364332		1,515.00	267,202.24
18-06-2019	CE00000066050120328207/0758615 66050120328207                1364332		1,515.00	265,687.24
18-06-2019	CE00000065390120328244/0603559 65390120328244                1364332		1,515.00	264,172.24
18-06-2019	CE00000078350120328214/0471449 78350120328214                1364332		1,515.00	262,657.24
18-06-2019	CE00000084330120338259/0462110 84330120338259                1364332		1,515.00	261,142.24
18-06-2019	CE00000063260120338256/0459900 63260120338256                1364332		1,515.00	259,627.24
18-06-2019	CE00000066950120338237/0447139 66950120338237                1364332		1,515.00	258,112.24
18-06-2019	CE00000072700120338259/0086020 72700120338259                1364332		1,515.00	256,597.24
18-06-2019	CE00000074120120328261/0053779 74120120328261                1364332		1,515.00	255,082.24
18-06-2019	CE00000072890120338259/0003476 72890120338259                1364332		1,515.00	253,567.24
18-06-2019	CE00000080810120338292/4987862 80810120338292                1364332		1,515.00	252,052.24
18-06-2019	CE00000076300120338211/4987378 76300120338211                1364332		1,515.00	250,537.24
18-06-2019	CE00000087610620327261/4971516 87610620327261                1364332		230.00	249,022.24
18-06-2019	CHEQUE PAGADO NO./CH-0003353 PAGO EN EFECTIVO	1,183.00		248,792.24
18-06-2019	CE00000075760120338212/4851297 75760120338212                1364332		1,515.00	249,975.24
18-06-2019	CE00000067150120328241/4805460 67150120328241                1364332		1,515.00	248,460.24
18-06-2019	CE00000065360120338204/4801434 65360120338204                1364332		1,515.00	246,945.24
18-06-2019	CE00000066820120338254/4794691 66820120338254                1364332		1,515.00	245,430.24
18-06-2019	CE00000088100620337252/4770073 88100620337252                1364332		230.00	243,915.24
18-06-2019	CE00000071090120338258/4716118 71090120338258                1364332		1,515.00	243,685.24
18-06-2019	CE00000082970120338257/4685186 82970120338257                1364332		1,515.00	242,170.24
18-06-2019	CE00000077480120338203/4645025 77480120338203                1364332		1,515.00	240,655.24
18-06-2019	CE00000087750620337280/4638986 87750620337280                1364332		230.00	239,140.24
18-06-2019	CE00000068960120328261/4563482 68960120328261                1364332		1,515.00	238,910.24
18-06-2019	CE00000077180120338231/4515610 77180120338231                1364332		1,515.00	237,395.24
18-06-2019	CE00000077690120328251/4505920 77690120328251                1364332		1,515.00	235,880.24
18-06-2019	CE00000076280120328226/4489155 76280120328226                1364332		1,515.00	234,365.24
18-06-2019	CE00000073320120328296/4463624 73320120328296                1364332		1,515.00	232,850.24
18-06-2019	CHEQUE PAGADO NO./CH-0003339 PAGO EN EFECTIVO	1,273.00		231,335.24
18-06-2019	CE00000081090120338271/4440117 INSCRIPCION SEPTIEMBRE-DICIEMB1364332		1,515.00	232,608.24
18-06-2019	CE00000080050120328264/4358838 80050120328264                1364332		1,515.00	231,093.24
18-06-2019	CE00000065770120328201/4320437 65770120328201                1364332		1,515.00	229,578.24
18-06-2019	CE00000073200120338252/4293652 73200120338252                1364332		1,515.00	228,063.24
18-06-2019	CE00000073610120338266/4289747 73610120338266                1364332		1,515.00	226,548.24
18-06-2019	CE00000077390120338296/4280562 77390120338296                1364332		1,515.00	225,033.24
18-06-2019	CE00000075200120338274/4276426 75200120338274                1364332		1,515.00	223,518.24
18-06-2019	CE00000087960620337248/4226684 87960620337248                1364332		230.00	222,003.24
18-06-2019	CE00000077280120338254/4224539 77280120338254                1364332		1,515.00	221,773.24
18-06-2019	CE00000078490120338233/4224495 78490120338233                1364332		1,515.00	220,258.24
18-06-2019	CE00000077700120338217/4215464 77700120338217                1364332		1,515.00	218,743.24
18-06-2019	CE00000075060120338245/4194487 75060120338245                1364332		1,515.00	217,228.24
18-06-2019	CE00000071010120338203/4127673 71010120338203                1364332		1,515.00	215,713.24
18-06-2019	CE00000068280120338252/4084718 68280120338252                1364332		1,515.00	214,198.24
18-06-2019	CE00000068540120338245/3954203 68540120338245                1364332		1,515.00	212,683.24
18-06-2019	CE00000083780120338241/3935646 INSCRIPCION SEP-DIC 2019      1364332		1,515.00	211,168.24
18-06-2019	CE00000075970120338277/3926197 75970120338277                1364332		1,515.00	209,653.24
18-06-2019	CE00000084350120338297/3888742 84350120338297                1364332		1,515.00	208,138.24
18-06-2019	CE00000068380120328258/3856347 68380120328258                1364332		1,515.00	206,623.24
18-06-2019	CE00000083330120328231/3850440 83330120328231                1364332		1,515.00	205,108.24
18-06-2019	CE00000070200120338219/3837746 70200120338219                1364332		1,515.00	203,593.24
18-06-2019	CE00000074650120338256/3826801 74650120338256                1364332		1,515.00	202,078.24
18-06-2019	CE00000088070620327248/3759118 EXAMEN DE INGRESO A LA EDUCACI1364332		230.00	200,563.24
18-06-2019	CE00000088130620327292/3684241 88130620327292                1364332		230.00	200,333.24
18-06-2019	CE00000065930120338285/3677696 65930120338285                1364332		1,515.00	200,103.24
18-06-2019	CE00000066290120338249/3669864 INSCRIPCION SEPTIEMBRE-DICIEM 1364332		1,515.00	198,588.24
18-06-2019	DEPOSITO EN EFECTIVO/0036352  		120.00	197,073.24
18-06-2019	CE00000074080120328255/3529955 74080120328255                1364332		1,515.00	196,953.24
18-06-2019	CE00000080780120328288/3491191 80780120328288                1364332		1,515.00	195,438.24
18-06-2019	CE00000087690120328264/3472315 87690120328264                1364332		1,515.00	193,923.24
18-06-2019	CE00000064480120328237/3436235 64480120328237                1364332		1,515.00	192,408.24
18-06-2019	CE00000076930120338212/3412772 76930120338212                1364332		1,515.00	190,893.24
18-06-2019	CE00000081540120338291/3404324 81540120338291                1364332		1,515.00	189,378.24
18-06-2019	CE00000088010620327231/3292795 88010620327231                1364332		230.00	187,863.24
18-06-2019	CE00000081840120328246/3289540 81840120328246                1364332		1,515.00	187,633.24
